#old_id	new_id
evm.model.jcf7180007902332.1	CcGene_00211
evm.model.jcf7180007902337.1	CcGene_00212
evm.model.jcf7180007902337.2	CcGene_00213
evm.model.jcf7180007902337.3	CcGene_00214
evm.model.jcf7180007902372.1	CcGene_00215
evm.model.jcf7180007902373.1	CcGene_00216
evm.model.jcf7180007902373.2	CcGene_00217
evm.model.jcf7180007902376.1	CcGene_00218
evm.model.jcf7180007902376.2	CcGene_00219
evm.model.jcf7180007902377.1	CcGene_00220
evm.model.jcf7180007902377.2	CcGene_00221
evm.model.jcf7180007902377.3	CcGene_00222
evm.model.jcf7180007902378.1	CcGene_00223
evm.model.jcf7180007902385.1	CcGene_00224
evm.model.jcf7180007902407.1	CcGene_00225
evm.model.jcf7180007902407.2	CcGene_00226
evm.model.jcf7180007902413.1	CcGene_00227
evm.model.jcf7180007902414.1	CcGene_00228
evm.model.jcf7180007902414.2	CcGene_00229
evm.model.jcf7180007902414.3	CcGene_00230
evm.model.jcf7180007902414.4	CcGene_00231
evm.model.jcf7180007902416.1	CcGene_00232
evm.model.jcf7180007902423.1	CcGene_00233
evm.model.jcf7180007902423.2	CcGene_00234
evm.model.jcf7180007902423.3	CcGene_00235
evm.model.jcf7180007902424.1	CcGene_00236
evm.model.jcf7180007902428.1	CcGene_00237
evm.model.jcf7180007902431.1	CcGene_00238
evm.model.jcf7180007902461.1	CcGene_00239
evm.model.jcf7180007902462.1	CcGene_00240
evm.model.jcf7180007902463.1	CcGene_00241
evm.model.jcf7180007902463.2	CcGene_00242
evm.model.jcf7180007902469.1	CcGene_00243
evm.model.jcf7180007902471.1	CcGene_00244
evm.model.jcf7180007902477.1	CcGene_00245
evm.model.jcf7180007902485.1	CcGene_00246
evm.model.jcf7180007902526.1	CcGene_00247
evm.model.jcf7180007902526.10	CcGene_00248
evm.model.jcf7180007902526.11	CcGene_00249
evm.model.jcf7180007902526.12	CcGene_00250
evm.model.jcf7180007902526.13	CcGene_00251
evm.model.jcf7180007902526.2	CcGene_00252
evm.model.jcf7180007902526.3	CcGene_00253
evm.model.jcf7180007902526.4	CcGene_00254
evm.model.jcf7180007902526.5	CcGene_00255
evm.model.jcf7180007902526.6	CcGene_00256
evm.model.jcf7180007902526.7	CcGene_00257
evm.model.jcf7180007902526.8	CcGene_00258
evm.model.jcf7180007902526.9	CcGene_00259
evm.model.jcf7180007902527.1	CcGene_00260
evm.model.jcf7180007902527.2	CcGene_00261
evm.model.jcf7180007902528.1	CcGene_00262
evm.model.jcf7180007902530.1	CcGene_00263
evm.model.jcf7180007902530.2	CcGene_00264
evm.model.jcf7180007902530.3	CcGene_00265
evm.model.jcf7180007902531.1	CcGene_00266
evm.model.jcf7180007902533.1	CcGene_00267
evm.model.jcf7180007902534.1	CcGene_00268
evm.model.jcf7180007902535.1	CcGene_00269
evm.model.jcf7180007902535.2	CcGene_00270
evm.model.jcf7180007902535.3	CcGene_00271
evm.model.jcf7180007902535.4	CcGene_00272
evm.model.jcf7180007902539.1	CcGene_00273
evm.model.jcf7180007902589.1	CcGene_00274
evm.model.jcf7180007902589.2	CcGene_00275
evm.model.jcf7180007902590.1	CcGene_00276
evm.model.jcf7180007902590.2	CcGene_00277
evm.model.jcf7180007902590.3	CcGene_00278
evm.model.jcf7180007902591.1	CcGene_00279
evm.model.jcf7180007902592.1	CcGene_00280
evm.model.jcf7180007902592.2	CcGene_00281
evm.model.jcf7180007902592.3	CcGene_00282
evm.model.jcf7180007902592.4	CcGene_00283
evm.model.jcf7180007902592.5	CcGene_00284
evm.model.jcf7180007902592.6	CcGene_00285
evm.model.jcf7180007902592.7	CcGene_00286
evm.model.jcf7180007902592.8	CcGene_00287
evm.model.jcf7180007902592.9	CcGene_00288
evm.model.jcf7180007902594.1	CcGene_00289
evm.model.jcf7180007902594.2	CcGene_00290
evm.model.jcf7180007902594.3	CcGene_00291
evm.model.jcf7180007902594.4	CcGene_00292
evm.model.jcf7180007902594.5	CcGene_00293
evm.model.jcf7180007902594.6	CcGene_00294
evm.model.jcf7180007902594.7	CcGene_00295
evm.model.jcf7180007902597.1	CcGene_00296
evm.model.jcf7180007902598.1	CcGene_00297
evm.model.jcf7180007902604.1	CcGene_00298
evm.model.jcf7180007902605.1	CcGene_00299
evm.model.jcf7180007902606.1	CcGene_00300
evm.model.jcf7180007902611.1	CcGene_00301
evm.model.jcf7180007902620.1	CcGene_00302
evm.model.jcf7180007902647.1	CcGene_00303
